Fold,Model,Chain,label,RMSE
7,CLUS (50),,disparate_parity,0.13642759007931904
7,CLUS (50),,equal_opportunity,0.1685696574446012
7,CLUS (50),,group_fairness,0.070663071
7,CLUS (50),,all,0.12522010625916105
8,CLUS (50),,disparate_parity,0.13674258020162341
8,CLUS (50),,equal_opportunity,0.16343748144371448
8,CLUS (50),,group_fairness,0.074157071
8,CLUS (50),,all,0.12477904409087777
9,CLUS (50),,disparate_parity,0.14172446729672722
9,CLUS (50),,equal_opportunity,0.16641660188937682
9,CLUS (50),,group_fairness,0.073793255
9,CLUS (50),,all,0.1273114412339059
0,CLUS (100),,disparate_parity,0.1474051746451822
0,CLUS (100),,equal_opportunity,0.17648629569631558
0,CLUS (100),,group_fairness,0.073187439
0,CLUS (100),,all,0.13235963651166255
1,CLUS (100),,disparate_parity,0.14539708858927336
1,CLUS (100),,equal_opportunity,0.16452216876292933
1,CLUS (100),,group_fairness,0.072617158
1,CLUS (100),,all,0.12751213839604036
2,CLUS (100),,disparate_parity,0.13690698975221383
2,CLUS (100),,equal_opportunity,0.16211755180404955
2,CLUS (100),,group_fairness,0.073412077
2,CLUS (100),,all,0.12414553943590957
3,CLUS (100),,disparate_parity,0.14311383361670074
3,CLUS (100),,equal_opportunity,0.17060693841002794
3,CLUS (100),,group_fairness,0.07461907
3,CLUS (100),,all,0.12944661403840144
4,CLUS (100),,disparate_parity,0.1357854901518656
4,CLUS (100),,equal_opportunity,0.1689886789797481
4,CLUS (100),,group_fairness,0.078556763
4,CLUS (100),,all,0.12777697753823689
5,CLUS (100),,disparate_parity,0.13783153021605463
5,CLUS (100),,equal_opportunity,0.1648393669268814
5,CLUS (100),,group_fairness,0.073923782
5,CLUS (100),,all,0.12553155972756525
6,CLUS (100),,disparate_parity,0.14208958480247172
6,CLUS (100),,equal_opportunity,0.16991314835472993
6,CLUS (100),,group_fairness,0.070288015
6,CLUS (100),,all,0.12743024926791396
7,CLUS (100),,disparate_parity,0.13646588132256623
7,CLUS (100),,equal_opportunity,0.16812767176751178
7,CLUS (100),,group_fairness,0.070710505
7,CLUS (100),,all,0.125101353
8,CLUS (100),,disparate_parity,0.1366155972777598
8,CLUS (100),,equal_opportunity,0.16301407387026634
8,CLUS (100),,group_fairness,0.073343484
8,CLUS (100),,all,0.12432438502057674
9,CLUS (100),,disparate_parity,0.14173299292329108
9,CLUS (100),,equal_opportunity,0.16648182830787828
9,CLUS (100),,group_fairness,0.073966407
9,CLUS (100),,all,0.12739374270124634
0,CLUS (150),,disparate_parity,0.14754631399879656
0,CLUS (150),,equal_opportunity,0.1764828771678952
0,CLUS (150),,group_fairness,0.072921481
0,CLUS (150),,all,0.13231689084960532
1,CLUS (150),,disparate_parity,0.14514331791956958
1,CLUS (150),,equal_opportunity,0.16421927959721602
1,CLUS (150),,group_fairness,0.072433304
1,CLUS (150),,all,0.1272653004714521
2,CLUS (150),,disparate_parity,0.13699163536073866
2,CLUS (150),,equal_opportunity,0.16224404885775756
2,CLUS (150),,group_fairness,0.073439398
2,CLUS (150),,all,0.12422502746185217
3,CLUS (150),,disparate_parity,0.14337286040202246
3,CLUS (150),,equal_opportunity,0.17035421052227417
3,CLUS (150),,group_fairness,0.07443441
3,CLUS (150),,all,0.12938716017459387
4,CLUS (150),,disparate_parity,0.1358325667906364
4,CLUS (150),,equal_opportunity,0.16901790427774221
4,CLUS (150),,group_fairness,0.078292011
4,CLUS (150),,all,0.1277141606397084
5,CLUS (150),,disparate_parity,0.13766639918202297
5,CLUS (150),,equal_opportunity,0.16512542358998755
5,CLUS (150),,group_fairness,0.073878235
5,CLUS (150),,all,0.12555668595056887
6,CLUS (150),,disparate_parity,0.1420600809460203
6,CLUS (150),,equal_opportunity,0.17003273786550366
6,CLUS (150),,group_fairness,0.070460959
6,CLUS (150),,all,0.12751792606077064
7,CLUS (150),,disparate_parity,0.1365618437306212
7,CLUS (150),,equal_opportunity,0.16822130885887224
7,CLUS (150),,group_fairness,0.070740882
7,CLUS (150),,all,0.1251746783355043
8,CLUS (150),,disparate_parity,0.13651048928365692
8,CLUS (150),,equal_opportunity,0.1631126710125911
8,CLUS (150),,group_fairness,0.073180458
8,CLUS (150),,all,0.12426787260880767
9,CLUS (150),,disparate_parity,0.14161766593102465
9,CLUS (150),,equal_opportunity,0.16645329349890556
9,CLUS (150),,group_fairness,0.073898016
9,CLUS (150),,all,0.12732299167583713
0,CLUS (200),,disparate_parity,0.14754213364343938
0,CLUS (200),,equal_opportunity,0.1764357815487827
0,CLUS (200),,group_fairness,0.072786093
0,CLUS (200),,all,0.1322546694372885
1,CLUS (200),,disparate_parity,0.14515516448643756
1,CLUS (200),,equal_opportunity,0.16402948680764748
1,CLUS (200),,group_fairness,0.072188084
1,CLUS (200),,all,0.12712424508129253
2,CLUS (200),,disparate_parity,0.13677415538997187
2,CLUS (200),,equal_opportunity,0.16208662733887683
2,CLUS (200),,group_fairness,0.07347402
2,CLUS (200),,all,0.12411160082837641
3,CLUS (200),,disparate_parity,0.14338870760818467
3,CLUS (200),,equal_opportunity,0.17044200646910043
