Fold,Model,Chain,Target,RMSE
5,Chain,"['equal_opportunity', 'group_fairness', 'disparate_parity']",equal_opportunity,0.15550313974493407
5,Chain,"['equal_opportunity', 'group_fairness', 'disparate_parity']",group_fairness,0.07871455064713992
5,Chain,"['group_fairness', 'disparate_parity', 'equal_opportunity']",disparate_parity,0.1272021171203299
5,Chain,"['group_fairness', 'disparate_parity', 'equal_opportunity']",equal_opportunity,0.15542109815406394
5,Chain,"['group_fairness', 'disparate_parity', 'equal_opportunity']",group_fairness,0.07634224781389462
5,Chain,"['group_fairness', 'equal_opportunity', 'disparate_parity']",disparate_parity,0.12740642691899998
5,Chain,"['group_fairness', 'equal_opportunity', 'disparate_parity']",equal_opportunity,0.15547088225876446
5,Chain,"['group_fairness', 'equal_opportunity', 'disparate_parity']",group_fairness,0.07634224781389462
5,Ensemble,,disparate_parity,0.12596928581693756
5,Ensemble,,equal_opportunity,0.15422218607440777
5,Ensemble,,group_fairness,0.0767024830803383
6,Chain,"['disparate_parity', 'equal_opportunity', 'group_fairness']",disparate_parity,0.13198290260193493
6,Chain,"['disparate_parity', 'equal_opportunity', 'group_fairness']",equal_opportunity,0.16518812570361172
6,Chain,"['disparate_parity', 'equal_opportunity', 'group_fairness']",group_fairness,0.07431413131519393
6,Chain,"['disparate_parity', 'group_fairness', 'equal_opportunity']",disparate_parity,0.13198290260193493
6,Chain,"['disparate_parity', 'group_fairness', 'equal_opportunity']",equal_opportunity,0.1641756154490112
6,Chain,"['disparate_parity', 'group_fairness', 'equal_opportunity']",group_fairness,0.07282607210356301
6,Chain,"['equal_opportunity', 'disparate_parity', 'group_fairness']",disparate_parity,0.13330300434158274
6,Chain,"['equal_opportunity', 'disparate_parity', 'group_fairness']",equal_opportunity,0.162627361731594
6,Chain,"['equal_opportunity', 'disparate_parity', 'group_fairness']",group_fairness,0.07504708165770126
6,Chain,"['equal_opportunity', 'group_fairness', 'disparate_parity']",disparate_parity,0.13291202455883386
6,Chain,"['equal_opportunity', 'group_fairness', 'disparate_parity']",equal_opportunity,0.162627361731594
6,Chain,"['equal_opportunity', 'group_fairness', 'disparate_parity']",group_fairness,0.0733589676164901
6,Chain,"['group_fairness', 'disparate_parity', 'equal_opportunity']",disparate_parity,0.13207832975997694
6,Chain,"['group_fairness', 'disparate_parity', 'equal_opportunity']",equal_opportunity,0.16417740685703094
6,Chain,"['group_fairness', 'disparate_parity', 'equal_opportunity']",group_fairness,0.0710455595717016
6,Chain,"['group_fairness', 'equal_opportunity', 'disparate_parity']",disparate_parity,0.13340436463775182
6,Chain,"['group_fairness', 'equal_opportunity', 'disparate_parity']",equal_opportunity,0.16330336500778958
6,Chain,"['group_fairness', 'equal_opportunity', 'disparate_parity']",group_fairness,0.0710455595717016
6,Ensemble,,disparate_parity,0.13127436581722024
6,Ensemble,,equal_opportunity,0.16250010744093638
6,Ensemble,,group_fairness,0.07165333193157503
7,Chain,"['disparate_parity', 'equal_opportunity', 'group_fairness']",disparate_parity,0.12696318308284285
7,Chain,"['disparate_parity', 'equal_opportunity', 'group_fairness']",equal_opportunity,0.1610677963782483
7,Chain,"['disparate_parity', 'equal_opportunity', 'group_fairness']",group_fairness,0.07592878301306373
7,Chain,"['disparate_parity', 'group_fairness', 'equal_opportunity']",disparate_parity,0.12696318308284285
7,Chain,"['disparate_parity', 'group_fairness', 'equal_opportunity']",equal_opportunity,0.16086688147198383
7,Chain,"['disparate_parity', 'group_fairness', 'equal_opportunity']",group_fairness,0.07594497897544925
7,Chain,"['equal_opportunity', 'disparate_parity', 'group_fairness']",disparate_parity,0.13066695447237955
7,Chain,"['equal_opportunity', 'disparate_parity', 'group_fairness']",equal_opportunity,0.16003083782390845
7,Chain,"['equal_opportunity', 'disparate_parity', 'group_fairness']",group_fairness,0.07563407437484636
7,Chain,"['equal_opportunity', 'group_fairness', 'disparate_parity']",disparate_parity,0.1306810399146868
7,Chain,"['equal_opportunity', 'group_fairness', 'disparate_parity']",equal_opportunity,0.16003083782390845
7,Chain,"['equal_opportunity', 'group_fairness', 'disparate_parity']",group_fairness,0.074013155424069
7,Chain,"['group_fairness', 'disparate_parity', 'equal_opportunity']",disparate_parity,0.12708660941699385
7,Chain,"['group_fairness', 'disparate_parity', 'equal_opportunity']",equal_opportunity,0.16121888212728594
7,Chain,"['group_fairness', 'disparate_parity', 'equal_opportunity']",group_fairness,0.07295215489997948
7,Chain,"['group_fairness', 'equal_opportunity', 'disparate_parity']",disparate_parity,0.13024009227013086
7,Chain,"['group_fairness', 'equal_opportunity', 'disparate_parity']",equal_opportunity,0.16033832609426482
7,Chain,"['group_fairness', 'equal_opportunity', 'disparate_parity']",group_fairness,0.07295215489997948
7,Ensemble,,disparate_parity,0.12732041979998193
7,Ensemble,,equal_opportunity,0.15942386047986187
7,Ensemble,,group_fairness,0.07347719299142354
8,Chain,"['disparate_parity', 'equal_opportunity', 'group_fairness']",disparate_parity,0.12607768796330357
8,Chain,"['disparate_parity', 'equal_opportunity', 'group_fairness']",equal_opportunity,0.15548233945978154
8,Chain,"['disparate_parity', 'equal_opportunity', 'group_fairness']",group_fairness,0.08135332443323838
8,Chain,"['disparate_parity', 'group_fairness', 'equal_opportunity']",disparate_parity,0.12607768796330357
8,Chain,"['disparate_parity', 'group_fairness', 'equal_opportunity']",equal_opportunity,0.15570283513885805
8,Chain,"['disparate_parity', 'group_fairness', 'equal_opportunity']",group_fairness,0.0805873262223028
8,Chain,"['equal_opportunity', 'disparate_parity', 'group_fairness']",disparate_parity,0.13038807227884774
8,Chain,"['equal_opportunity', 'disparate_parity', 'group_fairness']",equal_opportunity,0.15132085490279598
8,Chain,"['equal_opportunity', 'disparate_parity', 'group_fairness']",group_fairness,0.08060317798268264
8,Chain,"['equal_opportunity', 'group_fairness', 'disparate_parity']",disparate_parity,0.13127807590792318
8,Chain,"['equal_opportunity', 'group_fairness', 'disparate_parity']",equal_opportunity,0.15132085490279598
8,Chain,"['equal_opportunity', 'group_fairness', 'disparate_parity']",group_fairness,0.08005175996416856
