,Model,Fold,label,MAE,MSE,RMSE,MAPE,SMAPE,MSLE
219,Lasso,9.0,disparate_parity,0.1220517981477846,0.0259658065313872,0.1611390906372108,2549125309995.376,0.824976117279737,0.0162403372587588
220,Lasso,0.0,individual_fairness,0.3333715154516071,0.1576353638521169,0.397033202455559,3.0604828921893974,0.823157632537474,0.0664800933322326
221,Lasso,1.0,individual_fairness,0.3320613431336859,0.1555083063932381,0.3943454150782511,3.329063115880813,0.8290442771565887,0.0664113511737587
222,Lasso,2.0,individual_fairness,0.3220038426574297,0.1464325567953278,0.382665071302997,3.130876894519058,0.803925761355613,0.0629374238263747
223,Lasso,3.0,individual_fairness,0.3328300718416375,0.1529779880079991,0.3911240059213947,3.424248082073322,0.8323537592221892,0.0658882764305205
224,Lasso,4.0,individual_fairness,0.3344862257660473,0.1577061655599912,0.3971223559055714,3.413884730143629,0.830430060984285,0.0668543745172836
225,Lasso,5.0,individual_fairness,0.3278245595091663,0.1534386621489132,0.3917124738234835,3.132915952217639,0.8045392256480327,0.064756336051709
226,Lasso,6.0,individual_fairness,0.3330071248499466,0.1553039286592681,0.3940861944540408,3.39784499168952,0.8315656901064266,0.066327398065986
227,Lasso,7.0,individual_fairness,0.3310215169881121,0.154717288826488,0.3933411862829623,3.718845259509932,0.8373098240363939,0.0666488416968123
228,Lasso,8.0,individual_fairness,0.3224333450422088,0.1488259189831055,0.3857796248936762,2.992532291589237,0.7978557687504998,0.0632664530221961
229,Lasso,9.0,individual_fairness,0.3263107086684101,0.1496102993549746,0.3867949060613061,3.236027339219774,0.8121678394140018,0.0640657693106861
230,Lasso,0.0,group_fairness,0.3487521607397825,0.1766002820144488,0.4202383633302043,3.1252712505222338,0.8227085927891598,0.071334850581464
231,Lasso,1.0,group_fairness,0.3482549736840215,0.173572793506783,0.4166206830040763,3.7883417894985767,0.8303817212834146,0.0713042105456056
232,Lasso,2.0,group_fairness,0.3385493838461444,0.1656947474893615,0.4070561969671528,3.1587851085373293,0.8057396585362231,0.0680067818964033
233,Lasso,3.0,group_fairness,0.3489304930406353,0.1710510483845709,0.4135831819411555,3.634301662806374,0.8322959578010541,0.0708137024401053
234,Lasso,4.0,group_fairness,0.3519719243540753,0.1789272632605937,0.4229979471115595,3.382323244575969,0.8297981317398321,0.0722726403140747
235,Lasso,5.0,group_fairness,0.3431897406052394,0.1729179708424483,0.4158340664765795,3.3387019750108693,0.8026218371572545,0.0696511852857527
236,Lasso,6.0,group_fairness,0.3463907992341046,0.1698642644044763,0.4121459261044276,9.599165810882443,0.8296292966345296,0.0704092194253298
237,Lasso,7.0,group_fairness,0.34695369105217,0.1729081321711518,0.4158222362634685,4.405641565826684,0.8377958496861087,0.0715574108185842
238,Lasso,8.0,group_fairness,0.3382944216472106,0.1671317816888703,0.4088175408282652,3.10303571667923,0.7989591094164373,0.0680946113262018
239,Lasso,9.0,group_fairness,0.3426048859717587,0.1672179621660224,0.4089229293718101,3.293310887890537,0.8143787693639096,0.0688970052281181
240,XGBoost,0.0,Group Size Disparity,0.292892757952119,0.1320656919759101,0.3634084368529577,5974724363866.48,0.6400059964255688,0.0559026448758576
241,XGBoost,1.0,Group Size Disparity,0.3004658369975209,0.1381090382154439,0.3716302439461083,2433014324146.948,0.6586096049610898,0.0586518944444952
242,XGBoost,2.0,Group Size Disparity,0.2960988061681455,0.1304026513456889,0.3611130727981043,5940196126248.056,0.6711269279118601,0.057747605898828
243,XGBoost,3.0,Group Size Disparity,0.2902338917199322,0.1291257668952991,0.3593407392646973,4762771107366.686,0.6275648160025737,0.0546756572786864
244,XGBoost,4.0,Group Size Disparity,0.2943123730996073,0.1295803381808875,0.3599726908820828,4709371242099.25,0.6447696268834793,0.0558315871262268
245,XGBoost,5.0,Group Size Disparity,0.2934234682485627,0.1282804388043601,0.3581625871086483,7136351765943.087,0.6532496966112464,0.0562751328282816
246,XGBoost,6.0,Group Size Disparity,0.2909382406513133,0.1276588740835605,0.3572938203825537,1112827100157.1829,0.6502665289899464,0.0558402242193731
247,XGBoost,7.0,Group Size Disparity,0.29244055876066,0.1302615873510223,0.3609177016315802,8473302876051.135,0.6546731937257755,0.056750373267263
248,XGBoost,8.0,Group Size Disparity,0.3037710471223248,0.1365217395574957,0.3694884836601754,6040516630170.479,0.6768626445186018,0.0592869534443982
249,XGBoost,9.0,Group Size Disparity,0.2904452271304504,0.128214338419514,0.3580702981531895,1205835824910.484,0.6374237940949048,0.0553153253953862
250,XGBoost,0.0,Prevalence Disparity,0.0584080391778492,0.0060842158396164,0.0780013835750139,32.76318470162594,0.7982237120302944,0.00459547932912
251,XGBoost,1.0,Prevalence Disparity,0.0579598150709192,0.0060692946310011,0.0779056777841071,7.988657367034457,0.7823527849538606,0.0045313193507194
252,XGBoost,2.0,Prevalence Disparity,0.0559793017293337,0.0055874944153089,0.0747495445826189,436297885816.7925,0.7825602208273644,0.0042562701102802
253,XGBoost,3.0,Prevalence Disparity,0.058314290599438,0.0060033410614337,0.0774812303815175,9.250982155297075,0.7910150722302389,0.0045394732892498
254,XGBoost,4.0,Prevalence Disparity,0.0551907892769534,0.0052896764699203,0.0727301620369451,6.119641843699594,0.7621269409906145,0.0040482809474395
255,XGBoost,5.0,Prevalence Disparity,0.0564138683764222,0.0056490435123275,0.0751601191612119,443839932276.3311,0.788192215206167,0.0042661094874726
256,XGBoost,6.0,Prevalence Disparity,0.057827364651625,0.0061246965809748,0.0782604407154395,61.98209149397167,0.7924329673402604,0.004521582618282
257,XGBoost,7.0,Prevalence Disparity,0.0561680622360325,0.0056408044360142,0.0751052890016024,7.325144769393389,0.7632506423843692,0.0042581832646356
258,XGBoost,8.0,Prevalence Disparity,0.0560874887674088,0.0056997088439818,0.0754964161002484,277819212976.9718,0.7735146430611106,0.0043032152381103
259,XGBoost,9.0,Prevalence Disparity,0.0559919451296504,0.0055804310998269,0.0747022830964823,32.87634273853834,0.7880194451452377,0.0042618271614684
260,XGBoost,0.0,equal_opportunity,0.1109947736133101,0.0280975602669245,0.1676232688707764,2258179434099.789,0.7240330880405206,0.016015331750672
261,XGBoost,1.0,equal_opportunity,0.1071728332292102,0.0247110899239418,0.1571976142437977,1874289650356.5828,0.7260109315458968,0.0144209233190703
262,XGBoost,2.0,equal_opportunity,0.1030856438016896,0.0226663986075868,0.1505536403000169,509599312512.86334,0.7237885248836718,0.0135558148033816
263,XGBoost,3.0,equal_opportunity,0.1084263778866472,0.0259038167110068,0.1609466269016125,2984014629570.3013,0.7409926137099776,0.014991586037195
264,XGBoost,4.0,equal_opportunity,0.1098992153007242,0.0262786630145538,0.1621069493098734,2585089057752.967,0.7441152266966226,0.0149651912349211
265,XGBoost,5.0,equal_opportunity,0.1033319677417776,0.0236714751759318,0.1538553709687506,913577141602.0168,0.723342051110871,0.0137734143294284
