,Chain_Model,Fold,label,MAE,MSE,RMSE,MAPE,SMAPE,MSLE
167,EnsembleTree(2),3,group_fairness,0.082473539796076,0.0160266062026662,0.1265962329718631,0.3882977607691283,0.2562819416349249,0.0051200983389389
168,AverageEnsemble(3),3,disparate_parity,0.0958222287734599,0.0174872782795075,0.132239473227579,1921264017910.6123,0.684394474175291,0.0108322158189472
169,AverageEnsemble(3),3,equal_opportunity,0.1101127101880066,0.0259189837796245,0.1609937383242731,3915043078144.939,0.741337822830108,0.0151026409851257
170,AverageEnsemble(3),3,group_fairness,0.0687001387411845,0.0121687437049355,0.1103120288315628,0.2356800447569406,0.1853000521750903,0.0037203915592647
171,EnsembleTree(3),3,disparate_parity,0.1037843832790604,0.0196634180493483,0.1402263101181384,2110744634354.976,0.7287289327789872,0.0123278012970223
172,EnsembleTree(3),3,equal_opportunity,0.1177117757190413,0.0297849297341185,0.1725831096432051,3142771053233.021,0.7756934513702761,0.017451791161021
173,EnsembleTree(3),3,group_fairness,0.0716237254214636,0.0116651062514094,0.1080051214128728,0.3739628863085359,0.2458288087232349,0.0038078860587487
174,AverageEnsemble(4),3,disparate_parity,0.0956600204039565,0.0174638598990436,0.1321508982150468,1931745990261.648,0.6829546922036461,0.0108138301788963
175,AverageEnsemble(4),3,equal_opportunity,0.109441233851235,0.0258331753426885,0.1607270211964638,3800083543163.529,0.737792038471237,0.0150545621199752
176,AverageEnsemble(4),3,group_fairness,0.066234443608304,0.0112607963908951,0.1061168996479597,0.2271184354171445,0.1800601895625628,0.0034649914435971
177,EnsembleTree(4),3,disparate_parity,0.1046573414525558,0.0199930958349668,0.1413969442207532,1937027880925.436,0.7354789740161392,0.0125379745097011
178,EnsembleTree(4),3,equal_opportunity,0.1171060780001951,0.0301889429620222,0.1737496560054788,2853983739870.86,0.7696787916050589,0.017614576300798
179,EnsembleTree(4),3,group_fairness,0.0706493578211433,0.0110595012017435,0.1051641631058011,0.4068896757573832,0.2548958392508124,0.0036614413027426
180,AverageEnsemble(5),3,disparate_parity,0.0954294146593681,0.0175234232943382,0.1323760676796915,1763855380613.9502,0.6804331116721791,0.0108271854751358
181,AverageEnsemble(5),3,equal_opportunity,0.1076316670919591,0.0256147580380221,0.1600461122240155,3422752361907.998,0.7259208952888198,0.0149206285702424
182,AverageEnsemble(5),3,group_fairness,0.0584605171543568,0.009078577345932,0.0952815687629669,0.1985359303552923,0.1608301790213394,0.0027256510039665
183,EnsembleTree(5),3,disparate_parity,0.1046990401162392,0.0199221677816002,0.1411459095461157,1789712257747.0874,0.7352106670813888,0.0124759190476029
